spaceId	spaceName
6009	3楼东099
6010	3楼东100
6011	3楼东101
6012	3楼东102
6013	3楼东103
6014	3楼东104
6015	3楼东105
6016	3楼东106
6017	3楼东107
6018	3楼东108
6019	3楼东109
6020	3楼东110
6021	3楼东111
6022	3楼东112
6023	3楼东113
6024	3楼东114
6025	3楼东115
6026	3楼东116
6027	3楼西001
6028	3楼西002
6029	3楼西003
6030	3楼西004
6031	3楼西005
6032	3楼西006
6033	3楼西007
6034	3楼西008
6035	3楼西009
6036	3楼西010
6037	3楼西011
6038	3楼西012
6039	3楼西013
6040	3楼西014
6041	3楼西015
6042	3楼西016
6043	3楼中走廊001
6044	3楼中走廊002
6045	3楼中走廊003
6046	3楼中走廊004
6047	3楼中走廊005
6048	3楼中走廊006
6049	3楼中走廊007
6050	3楼中走廊008
6051	3楼中走廊009
6052	3楼中走廊010
6053	3楼中走廊011
6054	3楼中走廊012
6055	3楼中走廊013
6056	3楼中走廊014
6057	3楼中走廊015
6058	3楼中走廊016
6059	3楼中走廊017
6060	3楼中走廊018
6061	3楼中走廊019
6062	3楼中走廊020
6063	3楼中走廊021
6064	3楼中走廊022
6065	3楼中走廊023
6066	3楼中走廊024
6067	3楼中走廊025
6068	3楼中走廊026
6069	3楼中走廊027
6070	3楼中走廊028
6071	3楼中走廊029
6072	3楼中走廊030
6073	3楼中走廊031
6074	3楼中走廊032
6075	3楼中走廊033
6076	3楼中走廊034
6077	3楼中走廊035
6078	3楼中走廊036
6079	3楼中走廊037
6080	3楼中走廊038
6081	3楼中走廊039
6082	3楼中走廊040
6083	3楼中走廊041
6084	3楼中走廊042
6085	3楼中走廊043
6086	3楼中走廊044
6087	3楼中走廊045
6088	3楼中走廊046
6089	3楼中走廊047
6090	3楼中走廊048
6091	3楼中走廊049
6092	3楼中走廊050
6093	3楼中走廊051
6094	3楼中走廊052
6095	3楼中走廊053
6096	3楼中走廊054
6097	3楼中走廊055
6098	3楼中走廊056
6099	3楼中走廊057
6100	3楼中走廊058
6101	3楼中走廊059
6102	3楼中走廊060
6103	3楼中走廊061
6104	3楼中走廊062
6105	3楼中走廊063
6106	3楼中走廊064
6107	3楼中走廊065
6108	3楼中走廊066
6109	3楼中走廊067
6110	3楼中走廊068
6111	3楼中走廊069
6112	3楼中走廊070
